task,input,target
multistep_arithmetic_two,((-1 + 2 + 9 * 5) - (-2 + -4 + -4 * -7)) =,24
multistep_arithmetic_two,((-9 * -5 - 6 + -2) - (-8 - -6 * -3 * 1)) =,63
multistep_arithmetic_two,((3 * -3 * 6 + -5) - (-2 + -7 - 7 - -7)) =,-50
multistep_arithmetic_two,((6 * -6 * 8 * 1) * (-1 * 7 * -6 + -2)) =,-11520
multistep_arithmetic_two,((-6 - -4 + 9 + 0) + (1 + -4 - -9 * 6)) =,58
multistep_arithmetic_two,((-6 - 4 * 2 - 6) + (1 + -2 * 1 * 7)) =,-33
multistep_arithmetic_two,((1 - 0 + 1 - 4) - (-3 * 1 - -6 * -8)) =,49
multistep_arithmetic_two,((1 + 7 * -9 + -5) + (3 + -5 * 2 - 6)) =,-80
multistep_arithmetic_two,((-7 * -9 + 8 * -3) * (5 + -7 - 4 * -5)) =,702
multistep_arithmetic_two,((-9 - 1 * 5 * -5) - (6 + -3 - -1 * -7)) =,20
multistep_arithmetic_two,((6 - 0 * 5 + -3) * (6 - -7 + -2 - -7)) =,54
multistep_arithmetic_two,((2 - -2 + -7 * 8) * (-7 * -8 * 3 - -2)) =,-8840
multistep_arithmetic_two,((8 - 2 + -2 * 6) * (8 + -6 + -8 + -1)) =,42
multistep_arithmetic_two,((-6 + -9 - -6 + -4) * (-1 - -6 + -4 - 3)) =,26
multistep_arithmetic_two,((-5 - 4 * -8 + 8) * (4 + 3 - 9 * 7)) =,-1960
multistep_arithmetic_two,((-5 * -7 * -6 + 9) * (-2 - 8 + -5 + 7)) =,1608
multistep_arithmetic_two,((8 + 9 - 4 - -9) + (8 + 7 - 6 * 1)) =,31
multistep_arithmetic_two,((5 * -1 + -6 * -3) + (-1 + -8 - 5 + 3)) =,2
multistep_arithmetic_two,((-6 - 6 + 7 - 7) - (5 + 3 - 9 * -8)) =,-92
multistep_arithmetic_two,((7 - 4 + -3 * 4) - (5 + -8 - 6 + -5)) =,5
multistep_arithmetic_two,((-6 * -1 - 2 + -2) + (9 - 4 + -1 - 7)) =,-1
multistep_arithmetic_two,((8 * -6 + 6 * 1) - (-3 * 7 * 0 - 7)) =,-35
multistep_arithmetic_two,((-6 - 8 - -7 * -2) - (-9 - 5 + 7 + 1)) =,-22
multistep_arithmetic_two,((1 - 7 - -8 * 3) + (-7 - -2 + -3 * 6)) =,-5
multistep_arithmetic_two,((5 * -8 - -5 * -9) * (2 - -7 * 6 - 4)) =,-3400
multistep_arithmetic_two,((6 + 1 - 4 - 3) - (-4 * -6 * -3 + 1)) =,71
multistep_arithmetic_two,((-9 - -9 + 0 + -3) + (-2 - -1 - 1 + 2)) =,-3
multistep_arithmetic_two,((9 - 3 + 2 + -1) - (5 - -1 - -6 * -4)) =,25
multistep_arithmetic_two,((-8 + 6 * -2 + 4) * (-4 * 5 + 2 - 8)) =,416
multistep_arithmetic_two,((3 + -1 * 7 * -6) - (-7 * -1 + -5 - -3)) =,40
multistep_arithmetic_two,((3 - 3 - -3 + -2) + (8 - 2 + -8 - -6)) =,5
multistep_arithmetic_two,((-2 + -9 - -2 * 2) - (6 * 1 * -2 * -1)) =,-19
