task,input,target
boolean_expressions,not ( True ) and ( True ) is,False
boolean_expressions,True and not not ( not False ) is,True
boolean_expressions,not True or False or ( False ) is,False
boolean_expressions,False or not ( True ) and False is,False
boolean_expressions,True or not False and True and False is,True
boolean_expressions,False or not not not False and True is,True
boolean_expressions,not True and ( False or True ) is,False
boolean_expressions,True and not False or ( True ) is,True
boolean_expressions,not True or ( False and True ) is,False
boolean_expressions,not True or ( True or False ) is,True
boolean_expressions,False or ( False ) and not False is,False
boolean_expressions,not False or True and False and False is,True
boolean_expressions,not True or False or not not True is,True
boolean_expressions,True and True and False and not True is,False
boolean_expressions,not not True and not True or True is,True
boolean_expressions,not not not ( True and False ) is,True
boolean_expressions,not not False and not not not False is,False
boolean_expressions,( True and not True and False ) is,False
boolean_expressions,False and False and False or not False is,True
boolean_expressions,False or ( False and not False ) is,False
boolean_expressions,True and False or ( not True ) is,False
boolean_expressions,not not ( True ) and not False is,True
boolean_expressions,not False or ( True ) and True is,True
boolean_expressions,not ( True ) or False or True is,True
boolean_expressions,( True and not not not True ) is,False
boolean_expressions,( False or not False or False ) is,True
boolean_expressions,False and False or True and not False is,True
boolean_expressions,not not False or not False or True is,True
boolean_expressions,True and not True or False or True is,True
boolean_expressions,not False or True and False or False is,True
boolean_expressions,False and ( not False ) or False is,False
boolean_expressions,not not not not ( not False ) is,True
boolean_expressions,( True ) and True or not True is,True
boolean_expressions,not True or False and False and False is,False
boolean_expressions,not not not not not not not False is,True
boolean_expressions,not True or not False and not False is,True
boolean_expressions,False or True or False and not False is,True
boolean_expressions,not ( True or True ) and False is,False
boolean_expressions,not not not not True and not True is,False
boolean_expressions,( False ) or False and not True is,False
boolean_expressions,( False and True or not False ) is,True
boolean_expressions,not not not ( False and True ) is,True
boolean_expressions,not not True and not False or True is,True
boolean_expressions,not False or True and not not True is,True
boolean_expressions,True or True or not False or False is,True
boolean_expressions,( not False and False and False ) is,False
boolean_expressions,( ( not True ) or True ) is,True
boolean_expressions,not not ( not False or True ) is,True
boolean_expressions,not True or False or ( True ) is,True
boolean_expressions,False or ( not False ) and True is,True
boolean_expressions,not False or False or ( False ) is,True
boolean_expressions,not not False or False and not True is,False
boolean_expressions,True or ( ( not True ) ) is,True
boolean_expressions,not False and not False and not False is,True
boolean_expressions,( False ) and not False and True is,False
boolean_expressions,( True ) and False or not False is,True
boolean_expressions,( not False and ( True ) ) is,True
boolean_expressions,False or not ( False ) or True is,True
boolean_expressions,True and not False and not not True is,True
boolean_expressions,not True and True and True or False is,False
boolean_expressions,not not ( False and not True ) is,False
boolean_expressions,True or not ( ( False ) ) is,True
boolean_expressions,False or not True or False or False is,False
boolean_expressions,False or not not True or not False is,True
boolean_expressions,not ( True or True or False ) is,False
boolean_expressions,False or not not not not not False is,True
boolean_expressions,not ( False ) or not not True is,True
boolean_expressions,True and not False or False and False is,True
boolean_expressions,True or ( not ( True ) ) is,True
boolean_expressions,( False or True and not True ) is,False
boolean_expressions,False or not True and True or True is,True
boolean_expressions,not not not not not not not True is,False
boolean_expressions,( not False ) and False or True is,True
boolean_expressions,False and False or not ( True ) is,False
boolean_expressions,( not False or True ) and True is,True
boolean_expressions,not ( False ) and ( False ) is,False
boolean_expressions,False or True and not not not False is,True
boolean_expressions,( True ) and True and not True is,False
boolean_expressions,( not True ) and True and False is,False
boolean_expressions,( not not True and not False ) is,True
boolean_expressions,True and ( False ) or not False is,True
boolean_expressions,not not not False or False and False is,True
boolean_expressions,not not not False and True or False is,True
boolean_expressions,True or ( True or not False ) is,True
boolean_expressions,not False or ( ( False ) ) is,True
boolean_expressions,not not ( False and not False ) is,False
boolean_expressions,not not not not True or not True is,True
boolean_expressions,False and not ( False or False ) is,False
boolean_expressions,True and True and True or not False is,True
boolean_expressions,False or not False or True and True is,True
boolean_expressions,not False and False and False or False is,False
boolean_expressions,( False ) or not False or True is,True
boolean_expressions,( not False ) or ( True ) is,True
boolean_expressions,not not ( False or not True ) is,False
boolean_expressions,False or not False or False or False is,True
boolean_expressions,False or not False and ( False ) is,False
boolean_expressions,False or ( False ) or not True is,False
boolean_expressions,not True or False and True and True is,False
boolean_expressions,True or ( True or not True ) is,True
boolean_expressions,True and not False and True or True is,True
boolean_expressions,False or not False or not not True is,True
boolean_expressions,( True or not False ) or False is,True
boolean_expressions,False or not ( True ) and True is,False
boolean_expressions,not False and not True and not False is,False
boolean_expressions,False and ( True and not False ) is,False
boolean_expressions,not False or ( False ) or True is,True
boolean_expressions,False and not ( False and True ) is,False
boolean_expressions,( True or not not not False ) is,True
boolean_expressions,False and ( False or not False ) is,False
boolean_expressions,False or not True or True and False is,False
boolean_expressions,True and not True or True and True is,True
boolean_expressions,( not False or ( True ) ) is,True
boolean_expressions,( ( not ( True ) ) ) is,False
boolean_expressions,False and False and not ( False ) is,False
boolean_expressions,not True and not True and not True is,False
boolean_expressions,not ( True or False ) or True is,True
boolean_expressions,False or ( True ) or not True is,True
boolean_expressions,False or False and False or not True is,False
boolean_expressions,True or False or not True or False is,True
boolean_expressions,not True and ( True and True ) is,False
boolean_expressions,not True and True or True and False is,False
boolean_expressions,not False or ( True or True ) is,True
boolean_expressions,not ( False or ( False ) ) is,True
boolean_expressions,not ( True or True ) and True is,False
boolean_expressions,False or not False or True or True is,True
